"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
,"D4 2",,,,"time 4/4; resolution 8; bpm 160","fm on","fm on","fm on","square on; sq_filter on;",,,,
,,,,,,,,,"sq_freq 50",,,,
"####","D4 2",,,,,,,,"sq_depth 80",,,,
,,,,,,,,,,,,,
"----","A4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"####","F4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","C4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"####","D4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","F4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"####","A4 4",,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","D4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"####","D4 2","D4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","F4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","E4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","C#4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"####","F4 2","D4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2","C4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","Bb3 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","C4 2","A3 2",,,,,,,,,,,
,,,,,,,,,,,,,
"####","D4 2","D4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2","C#4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","F4 2","D4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","D4 2",,,,,,,,,,,
,,,,,,,,,,,,,
