"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
"####","A4 3","F4 3","C4 3","F3 3","time 4/4; resolution 8; bpm 100","Volume 75","Volume 50","Volume 50","Volume 50",,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"Bb4 1","F4 1","C4 1","G3 1",,,,,,,,,
"----","C5 2","F4 2","C4 2","A3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","C4 2","F3 2","F3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","G4 4","D4 4","A3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","F4 4","D4 4","A3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","G4 3","D4 3","G3 3","Bb2 3",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"A4 1","D4 1","D3 1","C3 1",,,,,,,,,
"----","G4 2","D4 2","D3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","C4 2","F3 2","A3 2 ",,,,,,,,,
,,,,,,,,,,,,,
"####","G4 8","Bb3 8","F3 4","G3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,"E3 4","C3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","A4 3","C4 3","F3 3","F4 3",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"Bb4 1","F4 1","C4 1","G3 1",,,,,,,,,
"----","C5 2","F4 2","C4 2","A3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","C4 2","F3 2","F3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","G4 4","D4 4","A3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","F4 4","D4 4","A3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","G4 2","F4 2","D4 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","F4 2","D4 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 3","E4 3","Bb3 3","C3 3",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"F4 1","F4 1","Bb3 1","C3 1",,,,,,,,,
"####","F4 6","F4 6","A3 6","F3 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","Bb4 3","F4 3","Bb3 3","D3 3",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"A4 1","F4 1","C4 1","F3 1",,,,,,,,,
"----","Bb4 2","F4 2","Bb3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","C5 2","Eb4 2","A3 2","C3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","D5 2","D4 2","Bb3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","D5 2","D4 2","Bb3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","C5 4","F4 4","A3 4","D2 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","C5 2","F4 2","F3 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","E4 2","C4 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","D4 2","Bb3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","F4 2","D4 2","A3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","E4 6","C4 6","G3 6","C3 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","A4 3","C4 3","F3 3","F3 3",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"Bb4 1","F4 1","C4 1","G3 1",,,,,,,,,
"----","C5 2","F4 2","C4 2","A3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","C4 2","F4 2","F3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","G4 4","D4 4","A3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","F4 4","D4 4","A3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","G4 2","F4 4","D4 4","Bb2 4",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"----","G4 3","E4 3","Bb3 3","A2 3",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"F4 1","F41 ","Bb3 1","A2 1",,,,,,,,,
"####","F4 6","F4 6","A3 6","F3 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
