"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
"# dash","G4 2",,,"C3 2","time 4/4; resolution 8; bpm 160","hard_attack; volume 100","drum_level 5","drum_level 5","drum_level 5; fm on",,"bells","bells",
,,,,,,,,,,,,,
"- ing","E5 2",,,,,,,,,,"bells",,
,,,,,,,,,,,,,
"- through","D5 2",,,"G2 2",,,,,,,"bells","hat",
,,,,,,,,,,,,,
"-the ","C5 2",,,,,,,,,,"bells ",,
,,,,,,,,,,,,,
"# snow","G4 6",,,"C3 2",,,,,,,"bells","bells","kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,"bells",,
,,,,,,,,,,,,"hat",
"----",,,,"G2 2",,,,,,,"bells","hat",
,,,,,,,,,,,,,
"- on ","G4 1",,,,,,,,,,"bells ",,
"a ","G4 1",,,,,,,,,,,,
"# one","G4 2",,,"C3 2",,,,,,,"bells","bells",
,,,,,,,,,,,,,
"- horse","E5 2",,,,,,,,,,"bells",,
,,,,,,,,,,,,"hat",
"- o","D5 2",,,"G2 2",,,,,,,"bells","hat",
,,,,,,,,,,,,,
"- pen","C5 2",,,,,,,,,,"bells ","hat",
,,,,,,,,,,,,,
"# sleigh","A4 6",,,"F3 2",,,,,,,"bells","bells","kick"
,,,,,,,,,,,,,
"----",,,,"C3 2",,,,,,,"bells",,
,,,,,,,,,,,,,
"----",,,,"D3 2",,,,,,,"bells","hat",
,,,,,,,,,,,,"hat",
"----",,,,"E3 2",,,,,,,"bells ","hat",
,,,,,,,,,,,,"hat",
"# o ","A4 2",,,"F3 2",,,,,,,,"snare",
,,,,,,,,,,,,,
"- ver","F5 2",,,,,,,,,,"bells",,
,,,,,,,,,,,,,
"- fields","E5 2",,,"C3 2",,,,,,,,,"kick"
,,,,,,,,,,,,"hat",
"- we","D5 2",,,,,,,,,,"bells","hat",
,,,,,,,,,,,,,
"# go ","B4 6",,,"G3 2",,,,,,,"bells","bells",
,,,,,,,,,,,,,
"----",,,,,,,,,,,"bells",,
,,,,,,,,,,,,,
"----",,,,"D3 2",,,,,,,"bells","hat",
,,,,,,,,,,,,,
"----",,,,,,,,,,,"bells ",,
,,,,,,,,,,,,,
"# laugh","G5 2",,,"G3 2",,,,,,,"bells","bells","kick"
,,,,,,,,,,,,,
"- ing","G5 2",,,"D3 2",,,,,,,"bells",,
,,,,,,,,,,,,"hat",
"- all ","F5 2",,,"E3 2",,,,,,,"bells","hat",
,,,,,,,,,,,,,
"- the ","D5 2",,,"F3 2",,,,,,,"bells ",,
,,,,,,,,,,,,,
"# way","E5 6",,,"G3 2",,,,,,,"bells","snare",
,,,,,,,,,,,,,
"----",,,,"F3 2",,,,,,,"bells",,
,,,,,,,,,,,,"hat",
"----",,,,"E3 2",,,,,,,"bells","hat","kick"
,,,,,,,,,,,,,
"----",,,,"D3 2",,,,,,,"bells ","hat",
,,,,,,,,,,,,,
"# bells","G4 2",,,"C3 2",,,,,,,"bells","bells","kick"
,,,,,,,,,,,,,
"- on","E5 2",,,,,,,,,,"bells",,
,,,,,,,,,,,,,
"- bob","D5 2",,,"G2 2",,,,,,,,"hat",
,,,,,,,,,,,,,
"- tails","C5 2",,,,,,,,,,,"hat",
,,,,,,,,,,,,,
"# ring","G4 6",,,"C3 2",,,,,,,"bells",,
,,,,,,,,,,,,,
"----",,,,,,,,,,,"bells",,
,,,,,,,,,,,,,
"----",,,,"G2 2",,,,,,,"bells",,
,,,,,,,,,,,,,
"----",,,,,,,,,,,"bells",,
,,,,,,,,,,,,,
"# mak","G4 2",,,"C3 2",,,,,,,"bells","bells","kick"
,,,,,,,,,,,,,
"- ing","E5 2",,,,,,,,,,"bells",,
,,,,,,,,,,,,,
"- spir","D5 2",,,"G2 2",,,,,,,,"hat",
,,,,,,,,,,,,,
"- its ","C5 2",,,,,,,,,,"snare","hat",
,,,,,,,,,,,,,
"# bright","A4 6",,,"F3 2",,,,,,,"bells","bells","kick"
,,,,,,,,,,,,,
"----",,,,"C3 2",,,,,,,"bells",,
,,,,,,,,,,,,,
"----",,,,"D3 2",,,,,,,"bells","hat",
,,,,,,,,,,,,"bells",
"- what","A4 2",,,"E3 2",,,,,,,"bells","hat","kick"
,,,,,,,,,,,,,
"# fun","A4 2",,,"F3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- it","F5 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"- is ","E5 2",,,"C3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- to ","D5 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"# ride","G5 2",,,"C3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- and","G5 2",,,,,,,,,,,,
,,,,,,,,,,,,,
"- sing","G5 2",,,"G3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- a","G5 2",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"# sleigh","A5 2",,,"G3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- ing","G5 2",,,"D3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- song","F5 2",,,"E3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- to","D5 2",,,"F3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"# night","C5 4",,,"C2 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,"C2 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- oh","G5 4",,,"C2 1",,,,,,,"bells","bells","kick"
,,,,"C2 1",,,,,,,,,"kick"
"----",,,,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,,,"kick"
"# jin","E5 2","G3 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"- gle","E5 2","E4 2",,"C2 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat","kick"
"- bells","E5 4","D4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"----",,"C4 2",,"C3 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat",
"# jin","E5 2","G3 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"- gle","E5 2","E4 2",,"C2 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat","kick"
"- bells","E5 4","D4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"----",,"C4 2",,"C3 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat",
"# jin","E5 2","G3 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"- gle","G5 2","E4 2",,"C3 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat","kick"
"- all","C5 3","D4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"-----",,"E4 2",,"C3 1",,,,,,,,"snare",
"the","D5 1",,,"C2 1",,,,,,,"bells","hat",
"# way","E5 6","F4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,,,
"----",,"E4 2",,"C3 1",,,,,,,,"snare","kick"
,,,,"C2 1",,,,,,,,,
"----",,"D4 2",,"G3 1",,,,,,,"tom1","bells","kick"
,,,,"C2 1",,,,,,,"tom2",,"kick"
"----",,"C4 2",,"C3 1",,,,,,,"tom3","snare","kick"
,,,,"C2 1",,,,,,,"tom3",,"kick"
"# oh","F5 2","F4 2",,"F2 1",,,,,,,,,"kick"
,,,,"F2 1",,,,,,,"bells","hat",
"- what","F5 2","F4 2",,"F3 1",,,,,,,,"snare",
,,,,"F2 1",,,,,,,"bells","hat","kick"
"- fun","F5 3","F4 2",,"F3 1",,,,,,,,,"kick"
,,,,"F2 1",,,,,,,"bells","hat",
"----",,"F4 1",,"F3 1",,,,,,,,"snare",
"it","F5 1","F4 1",,"F2 1",,,,,,,"bells","hat",
"# is","F5 2","F4 2",,"E2 1",,,,,,,,,"kick"
,,,,"E2 1",,,,,,,"bells","hat",
"- to","E5 2","E4 2",,"E3 1",,,,,,,,"snare",
,,,,"E2 1",,,,,,,"bells","hat","kick"
"- ride","E5 2","E4 2",,"E3 1",,,,,,,,,"kick"
,,,,"E2 1",,,,,,,"bells","hat",
"- in","E5 1","E4 1",,"E3 1",,,,,,,,"snare",
"a ","E5 1","E4 1",,"E2 1",,,,,,,"bells","hat",
"# one","E5 2","E4 2",,"D2 1",,,,,,,,,"kick"
,,,,,,,,,,,"bells","hat",
"- horse","D5 2","D4 2",,"D2 1",,,,,,,,"snare",
,,,,,,,,,,,"bells","hat","kick"
"- o ","D5 2","D4 2",,"D2 1",,,,,,,,,"kick"
,,,,,,,,,,,,,
"- pen","E5 2","E4 2",,"D2 1",,,,,,,,"snare",
,,,,,,,,,,,,,
"#sleigh","D5 4","D2 4",,"C2 1",,,,,,,,"snare","kick"
,,,,"C2 1",,,,,,,,"snare",
"----",,,,"B2 1",,,,,,,,"snare","kick"
,,,,"B2 1",,,,"snare_roll 3",,,,,
"----","G5 4","G4 4",,"A2 1",,,,,,,,"snare","kick"
,,,,"A2 1",,,,"snare_roll 3",,,,,
"----",,,,"G2 1",,,,"snare_roll 4",,,,,"kick"
,,,,"G2 1",,,,,,,,"snare","kick"
"# jin","E5 2","G3 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"- gle","E5 2","E4 2",,"C2 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat","kick"
"- bells","E5 4","D4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"----",,"C4 2",,"C3 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat",
"# jin","E5 2","G3 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"- gle","E5 2","E4 2",,"C2 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat","kick"
"- bells","E5 4","D4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"----",,"C4 2",,"C3 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat",
"# jin","E5 2","G3 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"- gle","G5 2","E4 2",,"C3 1",,,,,,,,"snare",
,,,,"C2 1",,,,,,,"bells","hat","kick"
"- all","C5 3","D4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,"bells","hat",
"-----",,"E4 2",,"C3 1",,,,,,,,"snare",
"the","D5 1",,,"C2 1",,,,,,,"bells","hat",
"# way","E5 6","F4 2",,"C2 1",,,,,,,,,"kick"
,,,,"C2 1",,,,,,,,,
"----",,"E4 2",,"C3 1",,,,,,,,"snare","kick"
,,,,"C2 1",,,,,,,,,
"----",,"D4 2",,"G3 1",,,,,,,"tom1","bells","kick"
,,,,"C2 1",,,,,,,"tom2",,"kick"
"----",,"C4 2",,"C3 1",,,,,,,"tom3","snare","kick"
,,,,"C2 1",,,,,,,"tom3",,"kick"
"# oh","F5 2","F4 2",,"F2 1",,,,,,,,,"kick"
,,,,"F2 1",,,,,,,"bells","hat","kick"
"- what","F5 2","F4 2",,"F3 1",,,,,,,,"snare",
,,,,"F2 1",,,,,,,"bells","hat","kick"
"- fun","F5 3","F4 2",,"F3 1",,,,,,,,,"kick"
,,,,"F2 1",,,,,,,"bells","hat",
"----",,"F4 1",,"F3 1",,,,,,,,"snare",
"it","F5 1","F4 1",,"F2 1",,,,,,,"bells","hat",
"# is","F5 2","G4 2",,"E2 1",,,,,,,,,"kick"
,,,,"E2 1",,,,,,,"bells","hat",
"- to","E5 2","A4 2",,"E3 1",,,,,,,,"snare",
,,,,"E2 1",,,,,,,"bells","hat","kick"
"- ride","E5 2","A4 2",,"E3 1",,,,,,,,,"kick"
,,,,"E2 1",,,,,,,"bells","hat",
"- in","E5 1","G4 2",,"E3 1",,,,,,,,"snare",
"a ","E5 1","E4 1",,"E2 1",,,,,,,"bells","hat",
"# one","G5 2","B4 2",,"G3 1",,,,,,,,,"kick"
,,,,,,,,,,,"bells","hat",
"- horse","G5 2","B4 2",,"G3 1",,,,,,,,"snare",
,,,,,,,,,,,"bells","hat","kick"
"- o","G5 2","B4 2",,"G3 1",,,,,,,,,"kick"
,,,,,,,,,,,"bells","hat",
"- pen","F5 2","A4 2",,"G3 1",,,,,,,,"snare",
,,,,,,,,,,,"bells","hat",
"# sleigh","C5 8","G4 8","E4 8","C2 8",,,,,,,,"bells","kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,"bells",,
,,,,,,,,,,,,,"bells"
"----",,,,,,,,,,"bells",,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"###",,,,,,,,,,"bells","bells","bells","bells"
,,,,,,,,,,,,,
"---",,,,,,,,,,,,,
,,,,,,,,,,,,,
"---",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"end",,,,,,,,,,,,,
