"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
,"G4 2","D4 2","B3 2","G3 2","time 4/4; resolution 8; bpm 138; master_volume 50","Volume 75","Volume 40","Volume 40","Volume 40",,,,
,,,,,,,,,,,,,
"1 ###","G4 4","D4 4","B3 4","G3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","D4 2","B3 2","B3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","D4 2","B3 2","G3 2",,,,,,,,,
,,,,,,,,,,,,,
"2 ###","A4 4","D4 4","A3 4","F#3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D4 4","D4 4","A3 4","F#3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"3 ###","B4 2","D4 2","G3 2","G3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","D4 2","A3 2","F#3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","B4 2","D4 2","G3 2","G3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","C5 2","E4 2","G3 2","C3 2",,,,,,,,,
,,,,,,,,,,,,,
"4 ###","B4 4","D4 4","G3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","D4 2","F#3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","B3 2","G3 2","E3 2",,,,,,,,,
,,,,,,,,,,,,,
"5 ###","G4 4","B3 2","G3 4","E3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,"C#4 2",,,,,,,,,,,
,,,,,,,,,,,,,
"----","F#4 2","D4 2","A3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2","C#4 2","A3 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"6 ###","F#4 2","D4 2","A3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","D4 2","G3 2","B2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","D4 2","F#3 2","F#2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","B4 2","D4 2","E3 2","G2 2",,,,,,,,,
,,,,,,,,,,,,,
"7 ###","F#4 4","D4 4","A3 4","A2 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","E4 3","C#4 3","G3 3","A2 3",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"D4 1","D4 1","G3 1","A2 1",,,,,,,,,
"8 ###","D4 6","D4 6","F#3 6","D3 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"9 ###","D5 4 ","D4 4","B3 4","B3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","C5 2","E4 1","C4 2","A3 2",,,,,,,,,
