"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
"####","F4 3","D4 3","Bb3 4","Bb2 4","Time 3/4; resolution 8; bpm 120","Volume 75","Volume 25","Volume 25","Volume 25",,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"G4 1","Eb4 1",,,,,,,,,,,
"----","F4 2","D4 2","Bb3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","D4 6","Bb3 6","F3 6","Bb2 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","F4 3","D4 3","Bb3 4","Bb2 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,"G4 1","Eb4 1",,,,,,,,,,,
"----","F4 2","D4 2","Bb3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","D4 6","Bb3 6","F3 6","Bb2 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","C5 4","Eb4 4","A3 4","F3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","C5 2","Eb4 2","A3 2","F3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","A4 6","Eb4 6","C4 6","F3 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","Bb4 4","D4 4","Bb3 4","Bb2 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","Bb4 2","Eb4 2","Bb3 2","Bb2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","F4 6","D4 6","Bb3 6","Bb2 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","G4 4","Eb4 4","Bb3 4","Eb3 4",,,,,,,,,
,,,,,,,,,,,,,
