"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
"####","F4 3","Bb3 1",,"Bb2 5","Time 3/4; resolution 8; bpm 120","Volume 75","Volume 25; drum_level 10","Volume 25; drum_level 5","Volume 25; attack_time 100; sustain_level 90; release_time 500; drum_level 10",,,,"kick"
,,"D3 1",,,,,,,,,,,
"----",,"F3 1",,,,,,,,,,"hat ",
,"G4 1","D3 1",,,,,,,,,,,
"----","F4 2","Bb4 1",,,,,,,,,,"hat ",
,,"D3 1",,,,,,,,,,,
"####","D4 6","Bb3 1",,"Bb2 5",,,,,,,,,"kick"
,,"D3 1",,,,,,,,,,,
"----",,"F3 1",,,,,,,,,,"hat ",
,,"D3 1",,,,,,,,,,,
"----",,"G3 1",,,,,,,,,,"hat ",
,,"F3 1",,,,,,,,,,,
"####","F4 3",,,"Bb2 5",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,"G4 1",,,,,,,,,,,,
"----","F4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","D4 6",,,"Bb2 5",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","C5 4",,,"F3 10",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----","C5 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","A4 6",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","Bb4 4",,,"Bb2 5",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----","Bb4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","F4 6",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,"C3 2",,,,,,,,"hat ",
,,,,,,,,,,,,,
"----",,,,"D3 2",,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","G4 4",,,"Eb3 10",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----","G4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","Bb4 3",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,"A4 1",,,,,,,,,,,,
"----","G4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","F4 3",,,"Bb2 10",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,"G4 1",,,,,,,,,,,,
"----","F4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","D4 6",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","G4 4",,,"Eb3 10",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----","G4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","Bb4 3",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,"A4 1",,,,,,,,,,,,
"----","G4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","F4 3",,,"Bb2 5",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,"G4 1",,,,,,,,,,,,
"----","F4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","D4 6",,,"C3 2",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,"D3 2",,,,,,,,"hat ",
,,,,,,,,,,,,,
"----",,,,"Eb3 2",,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","C5 4",,,"F3 10",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----","C5 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","Eb5 3",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,"C5 1",,,,,,,,,,,,
"----","A4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","Bb4 6",,,"Bb2 10",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","D5 6",,,,,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","Bb4 2",,,"Bb2 5",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----","F4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"----","D4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","F4 3",,,"F2 5",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,"hat ",
,"Eb4 1",,,,,,,,,,,,
"----","C4 2",,,,,,,,,,,"hat ",
,,,,,,,,,,,,,
"####","Bb3 6",,,"Bb2 6",,,,,,,,,"kick"
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
