"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
,"D4 2","D4 2","D4 2","D3 2","Time 3/4; resolution 8; bpm 150","Volume 75","Volume 25","Volume 25","Volume 25",,,,
,,,,,,,,,,,,,
"####","G4 2","D4 2","B3 2","G3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 1","D4 1","B3 1","D3 1",,,,,,,,,
,"A4 1","D4 1","C4 1","D3 1",,,,,,,,,
"----","G4 1","D4 1","B3 1","B2 1",,,,,,,,,
,"F#4 1","D4 1","A3 1","B2 1",,,,,,,,,
"####","E4 2","C4 2","G3 2","C3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2","C4 2","G3 2","C3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2","D4 2","G#3 2","B2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","A4 2","C#4 2","A3 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 1","C#4 1","A3 1","E3 1",,,,,,,,,
,"B4 1","D4 1","G#3 1","E3 1",,,,,,,,,
"----","A4 1","E4 1","A3 1","C#3 1",,,,,,,,,
,"G4 1","E4 1","A3 1","C#3 1",,,,,,,,,
"####","F#4 2","D4 2","A3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","D4 2","F#3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","D4 2","F#3 2","C3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","B4 2","D#4 2","F#3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","B4 1","D#4 1","F#3 1","F#3 1",,,,,,,,,
,"C5 1","E4 1","F#3 1","F#3 1",,,,,,,,,
"----","B4 1","F#4 1","B3 1","D#3 1",,,,,,,,,
,"A4 1","F#4 1","B3 1","D#3 1",,,,,,,,,
"####","G4 2","E4 2","B3 2","E3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2","B3 2","G3 2","E3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","D4 1","D4 1","G3 1","B2 1",,,,,,,,,
,"D4 1","D4 1","G3 1","B2 1",,,,,,,,,
"####","E4 1","C4 1","G3 1","C3 1",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 1","C4 1","A3 1","A2 1",,,,,,,,,
,,,,,,,,,,,,,
"----","F#4 1","D4 1","A3 1","D3 1",,,,,,,,,
,,"C4 1",,,,,,,,,,,
"####","G4 4","B3 4","G3 4","G2 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","C4 2","F#3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","G4 2","B3 2","G3 2","G2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","C4 2","G3 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","G4 2","C#4 2","E3 2","A#2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","F#4 4","D#4 4","F#3 4","B3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","F#4 2","D#4 2","B3 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","G4 2","E4 2","B3 2","G2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","F#4 2","D4 2","A3 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"----","E4 2","C#4 2","G3 2","A2 2",,,,,,,,,
,,,,,,,,,,,,,
"####","D4 4","D4 4","F#3 4","D3 4",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","A4 2","D4 2","D4 2","F#3 2",,,,,,,,,
,,,,,,,,,,,,,
"####","B4 2","D4 2","D4 2","G3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 1","D4 1","D4 1","F#3 1",,,,,,,,,
,"A4 1","D4 1","D4 1","F#3 1",,,,,,,,,
"----","G4 1","D4 1","D4 1","E3 1",,,,,,,,,
,"G4 1","D4 1","D4 1","E3 1",,,,,,,,,
"####","D5 2","F#4 2","A3 2","D3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","D4 2","D4 2","F#4 2","C3 2",,,,,,,,,
,,,,,,,,,,,,,
"----","D4 1","D4 1","G3 1","B2 1",,,,,,,,,
,"D4 1","D4 1","G3 1","B2 1",,,,,,,,,
"####","E4 1","C4 1","G3 1","C3 1",,,,,,,,,
,,,,,,,,,,,,,
"----","A4 1","E4 1","C4 1","A2 1",,,,,,,,,
,,,,,,,,,,,,,
"----","F#4 1","D4 1","A4 1","D3 1",,,,,,,,,
,,,,,,,,,,,,,
"####","G4 6","D4 6","B3 6","G2 6",,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
