"4","0_note","1_note","2_note","3_note","master","0_command","1_command","2_command","3_command","0_event","1_event","2_event","3_event"
,"D5 2",,,,"time 4/4; resolution 16; bpm 100","Volume 100","Volume 70;fm on; sine off","Volume 100; fm on;","Volume 70; fm on",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"D5 1",,,,,,,,,,,,
"####","E5 4",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D5 4",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","G5 4",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","F#5 6",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D5 2","D4 2",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"D5 1","D4 1",,,,,,,,,,,
"####","E5 4","G5 4",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D5 4","A4 4",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","A5 4","F#5 4",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","G5 6","D5 6",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","D5 2","B4 2",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"D5 1","B4 1",,,,,,,,,,,
"####","D6 4","G5 4","B4 4",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","B5 4","D5 4","G4 4",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","G5 4","B4 4","D4 4",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"####","F#5 4","D5 4","A4 4",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","E5 4","G4 4","B4 4",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","C6 2","C5 1","C5 1",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"C6 1","C5 1","C5 1",,,,,,,,,,
"####","B5 4","G5 4","D5 4","D6 4",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","G5 4","D5 4","E5 4","D6 4",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----","A5 4","D5 4","F#5 4","D6 2",,,,,,,,,
,,,,,,,,,,,,,
,,,,"C6 2",,,,,,,,,
,,,,,,,,,,,,,
"####","G5 12","D5 12","B5 12","B5 12",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"----",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"####",,,,,,,,,,,,,
