4,0_note,1_note,2_note,3_note,master,0_command,1_command,2_command,3_command,0_event,1_event,2_event,3_event
####,,,,G#6 2,time 12/8; resolution 8; bpm 120,,,Volume 10,Volume 10,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,,,,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,F#6 1,,,,,,,,,
####,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,F#5 2,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,F#5 2,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,,,F#5 2,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,F#5 2,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,F#5 2,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,F#5 2,F#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,F#5 1,F#6 1,,,,,,,,,
####,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,C#5 2,C#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,C#5 2,C#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,,,C#5 2,C#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,C#5 2,C#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,C#5 2,C#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,C#5 2,C#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,C#5 1,C#6 1,,,,,,,,,
####,,,C#6 2,C#7 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,C#6 2,C#7 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,C#6 2,C#7 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,C#6 2,C#7 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,Volume 10,Volume 10,,,,
,,,,,,,,,,,,,
-----,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,G#6 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,sq_filter off,,,,,,,
####,D#3 10,,G#5 2,,,sine off; square on; volume 100,,Volume 10,Volume 10,,,,
,,,,,,,,,,,,,
,,,,,,,fm_depth 0,,,,,,
--,,,G#5 2,,,,fm on,,,,,,
,,,,,,,sine off,,,,,,
,,,,,,,Volume 30,,,,,,
-----,,D#5 1,F#5 2,,,,,,,,,,
,,D#5 1,,,,,,,,,,,
,,D#5 1,,,,,,,,,,,
--,,F#5 1,F#5 2,,,,,,,,,,
,,F#5 1,,,,,,,,,,,
,,F#5 1,,,,,,,,,,,
####,,G#5 1,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,A#5 1,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,G#5 1,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,F#5 1,,,,,,,,,,,
--,,D#5 2,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,D#3 10,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,D#5 1,F#5 2,,,,,,,,,,
,,D#5 1,,,,,,,,,,,
,,D#5 1,,,,,,,,,,,
--,,F#5 1,F#5 2,,,,,,,,,,
,,F#5 1,,,,,,,,,,,
,,F#5 1,,,,,,,,,,,
####,,G#5 1,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,A#5 1,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,G#5 1,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,F#5 1,,,,,,,,,,,
--,,D#5 2,F#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,C#3 10,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,C#5 1,C#5 2,,,,,,,,,,
,,C#5 1,,,,,,,,,,,
,,C#5 1,,,,,,,,,,,
